;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;i09;Scrambled static;0.0;-1.0;1.90100002289;58.1150000095;60.0;2017-01-25-14-13-14
1;i09;Scrambled static;1.0;-1.0;1.08399987221;58.9170000553;60.0;2017-01-25-14-13-14
2;i09;Upright walker;2.0;-1.0;2.11900019646;8.02399992943;60.0;2017-01-25-14-13-14
3;i09;Upright walker;2.0;-1.0;11.0770001411;1.13399982452;60.0;2017-01-25-14-13-14
4;i09;Upright walker;2.0;-1.0;12.361000061;1.48500013351;60.0;2017-01-25-14-13-14
5;i09;Upright walker;2.0;-1.0;14.4790000916;1.66799998283;60.0;2017-01-25-14-13-14
6;i09;Upright walker;2.0;-1.0;16.7139999866;1.63499999046;60.0;2017-01-25-14-13-14
7;i09;Upright walker;2.0;1.0;20.0670001507;22.9029998779;60.0;2017-01-25-14-13-14
8;i09;Upright walker;2.0;1.0;43.4539999962;3.61900019646;60.0;2017-01-25-14-13-14
9;i09;Upright walker;2.0;1.0;49.9090001583;10.0909998417;60.0;2017-01-25-14-13-14
10;i09;Inverted walker;3.0;1.0;1.76800012589;12.8279998302;60.0;2017-01-25-14-13-14
11;i09;Inverted walker;3.0;1.0;16.614000082;21.0339999199;60.0;2017-01-25-14-13-14
12;i09;Inverted walker;3.0;1.0;41.3340001106;2.20299983025;60.0;2017-01-25-14-13-14
13;i09;Inverted walker;3.0;-1.0;43.9370000362;1.5680000782;60.0;2017-01-25-14-13-14
14;i09;Inverted walker;3.0;1.0;48.7070000172;0.884000062943;60.0;2017-01-25-14-13-14
15;i09;Inverted walker;3.0;-1.0;49.9249999523;0.884000062943;60.0;2017-01-25-14-13-14
16;i09;Inverted walker;3.0;1.0;51.5099999905;1.4509999752;60.0;2017-01-25-14-13-14
17;i09;Inverted walker;3.0;1.0;55.8629999161;4.13700008392;60.0;2017-01-25-14-13-14
18;i09;Scrambled moving;4.0;1.0;0.984000205994;12.3759999275;60.0;2017-01-25-14-13-14
19;i09;Scrambled moving;4.0;-1.0;14.4440000057;0.851999998093;60.0;2017-01-25-14-13-14
20;i09;Scrambled moving;4.0;-1.0;17.5140001774;4.87099981308;60.0;2017-01-25-14-13-14
21;i09;Scrambled moving;4.0;-1.0;26.9880001545;4.06999993324;60.0;2017-01-25-14-13-14
22;i09;Scrambled moving;4.0;1.0;32.5099999905;1.35100007057;60.0;2017-01-25-14-13-14
23;i09;Scrambled moving;4.0;-1.0;34.2120001316;0.766999959946;60.0;2017-01-25-14-13-14
24;i09;Scrambled moving;4.0;1.0;40.4500000477;3.06900000572;60.0;2017-01-25-14-13-14
25;i09;Scrambled moving;4.0;1.0;50.875;1.1850001812;60.0;2017-01-25-14-13-14
26;i09;Scrambled moving;4.0;-1.0;52.2100000381;7.80599999428;60.0;2017-01-25-14-13-14
