;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;i03;Scrambled static;0.0;1.0;1.6500937938690186;58.36633801460266;60.0;2016-06-02-12-17-33
1;i03;Scrambled static;1.0;1.0;0.8660500049591064;59.15038299560547;60.0;2016-06-02-12-17-33
2;i03;Upright walker;2.0;1.0;6.0003440380096436;54.00008797645569;60.0;2016-06-02-12-17-33
3;i03;Inverted walker;3.0;-1.0;6.7493860721588135;5.350306034088135;60.0;2016-06-02-12-17-33
4;i03;Inverted walker;3.0;1.0;12.099692106246948;1.9831140041351318;60.0;2016-06-02-12-17-33
5;i03;Inverted walker;3.0;-1.0;14.099807024002075;3.850219964981079;60.0;2016-06-02-12-17-33
6;i03;Inverted walker;3.0;1.0;17.950026988983154;8.816504001617432;60.0;2016-06-02-12-17-33
7;i03;Inverted walker;3.0;-1.0;27.516574144363403;0.6500370502471924;60.0;2016-06-02-12-17-33
8;i03;Inverted walker;3.0;1.0;28.26661705970764;1.3660781383514404;60.0;2016-06-02-12-17-33
9;i03;Inverted walker;3.0;-1.0;29.766703128814697;8.399479866027832;60.0;2016-06-02-12-17-33
10;i03;Inverted walker;3.0;1.0;38.19918513298035;7.500428915023804;60.0;2016-06-02-12-17-33
11;i03;Inverted walker;3.0;-1.0;45.716615200042725;6.799388885498047;60.0;2016-06-02-12-17-33
12;i03;Inverted walker;3.0;1.0;52.53300499916077;5.266301155090332;60.0;2016-06-02-12-17-33
13;i03;Inverted walker;3.0;-1.0;57.866310119628906;1.950110912322998;60.0;2016-06-02-12-17-33
14;i03;Inverted walker;3.0;1.0;59.816421031951904;0.2000119686126709;60.0;2016-06-02-12-17-33
15;i03;Scrambled moving;4.0;1.0;13.9167959690094;4.033231019973755;60.0;2016-06-02-12-17-33
16;i03;Scrambled moving;4.0;-1.0;17.966027975082397;8.31647515296936;60.0;2016-06-02-12-17-33
17;i03;Scrambled moving;4.0;1.0;26.282503128051758;5.250300884246826;60.0;2016-06-02-12-17-33
18;i03;Scrambled moving;4.0;1.0;31.73281502723694;0.23401403427124023;60.0;2016-06-02-12-17-33
19;i03;Scrambled moving;4.0;-1.0;34.73298716545105;4.8662779331207275;60.0;2016-06-02-12-17-33
20;i03;Scrambled moving;4.0;1.0;39.63326716423035;4.1492369174957275;60.0;2016-06-02-12-17-33
21;i03;Scrambled moving;4.0;-1.0;43.83250713348389;2.534144878387451;60.0;2016-06-02-12-17-33
22;i03;Scrambled moving;4.0;1.0;46.38265299797058;3.200183153152466;60.0;2016-06-02-12-17-33
23;i03;Scrambled moving;4.0;-1.0;49.649840116500854;2.2831308841705322;60.0;2016-06-02-12-17-33
24;i03;Scrambled moving;4.0;1.0;51.93297100067139;3.6832101345062256;60.0;2016-06-02-12-17-33
25;i03;Scrambled moving;4.0;-1.0;55.666183948516846;2.500143051147461;60.0;2016-06-02-12-17-33
26;i03;Scrambled moving;4.0;1.0;58.24933195114136;1.7511000633239746;60.0;2016-06-02-12-17-33
