;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;i11;Scrambled static;0.0;1.0;1.1400001049;58.8599998951;60.0;2017-01-25-11-01-34
1;i11;Scrambled static;1.0;1.0;0.491999864578;16.2170000076;60.0;2017-01-25-11-01-34
2;i11;Scrambled static;1.0;-1.0;16.8680000305;14.1499998569;60.0;2017-01-25-11-01-34
3;i11;Scrambled static;1.0;-1.0;33.7679998875;26.2330000401;60.0;2017-01-25-11-01-34
4;i11;Upright walker;2.0;-1.0;0.925000190735;0.358999967575;60.0;2017-01-25-11-01-34
5;i11;Upright walker;2.0;1.0;1.65900015831;1.01600003242;60.0;2017-01-25-11-01-34
6;i11;Upright walker;2.0;1.0;4.242000103;2.90100002289;60.0;2017-01-25-11-01-34
7;i11;Upright walker;2.0;-1.0;7.46800017357;6.69099998474;60.0;2017-01-25-11-01-34
8;i11;Upright walker;2.0;-1.0;14.4670000076;45.5350000858;60.0;2017-01-25-11-01-34
9;i11;Inverted walker;3.0;1.0;3.63499999046;4.30800008774;60.0;2017-01-25-11-01-34
10;i11;Inverted walker;3.0;-1.0;13.1670000553;0.508999824524;60.0;2017-01-25-11-01-34
11;i11;Inverted walker;3.0;-1.0;20.5269999504;2.1740000248;60.0;2017-01-25-11-01-34
12;i11;Inverted walker;3.0;1.0;30.7089998722;19.3760001659;60.0;2017-01-25-11-01-34
13;i11;Inverted walker;3.0;-1.0;50.6600000858;6.21699976921;60.0;2017-01-25-11-01-34
14;i11;Inverted walker;3.0;1.0;58.4769999981;1.52499985695;60.0;2017-01-25-11-01-34
15;i11;Scrambled moving;4.0;1.0;5.22600007057;19.2669999599;60.0;2017-01-25-11-01-34
