;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;i10;Scrambled static;0.0;1.0;1.19099998474;30.4089999199;60.0;2017-01-25-14-37-19
1;i10;Scrambled static;0.0;-1.0;31.7249999046;0.542000055313;60.0;2017-01-25-14-37-19
2;i10;Scrambled static;0.0;-1.0;33.5499999523;26.4509999752;60.0;2017-01-25-14-37-19
3;i10;Scrambled static;1.0;1.0;0.742000102997;33.9249999523;60.0;2017-01-25-14-37-19
4;i10;Scrambled static;1.0;-1.0;34.7669999599;25.2339999676;60.0;2017-01-25-14-37-19
5;i10;Upright walker;2.0;-1.0;4.04999995232;1.34100008011;60.0;2017-01-25-14-37-19
6;i10;Upright walker;2.0;1.0;5.43300008774;1.007999897;60.0;2017-01-25-14-37-19
7;i10;Upright walker;2.0;-1.0;7.71700000763;0.108000040054;60.0;2017-01-25-14-37-19
8;i10;Upright walker;2.0;1.0;8.34200000763;51.6589999199;60.0;2017-01-25-14-37-19
9;i10;Inverted walker;3.0;1.0;7.4929997921;1.66600012779;60.0;2017-01-25-14-37-19
10;i10;Inverted walker;3.0;-1.0;9.19299983978;1.82500004768;60.0;2017-01-25-14-37-19
11;i10;Inverted walker;3.0;1.0;11.0179998875;1.38300013542;60.0;2017-01-25-14-37-19
12;i10;Inverted walker;3.0;-1.0;30.5679998398;3.69099998474;60.0;2017-01-25-14-37-19
13;i10;Inverted walker;3.0;1.0;35.9769999981;6.85799980164;60.0;2017-01-25-14-37-19
14;i10;Inverted walker;3.0;1.0;50.6929998398;8.75100016594;60.0;2017-01-25-14-37-19
15;i10;Scrambled moving;4.0;-1.0;11.4659998417;3.1930000782;60.0;2017-01-25-14-37-19
