;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;i18;Scrambled static;0.0;1.0;1.48408508301;1.23407101631;60.0;2017-02-16-14-02-38
1;i18;Scrambled static;0.0;1.0;3.21918416023;5.18729686737;60.0;2017-02-16-14-02-38
2;i18;Scrambled static;0.0;1.0;10.2915890217;4.33724808693;60.0;2017-02-16-14-02-38
3;i18;Scrambled static;0.0;1.0;14.6448380947;0.100005865097;60.0;2017-02-16-14-02-38
4;i18;Scrambled static;0.0;1.0;15.3958809376;6.55537509918;60.0;2017-02-16-14-02-38
5;i18;Scrambled static;0.0;1.0;30.7747600079;6.43836903572;60.0;2017-02-16-14-02-38
6;i18;Scrambled static;0.0;1.0;42.9014539719;3.60320615768;60.0;2017-02-16-14-02-38
7;i18;Scrambled static;0.0;1.0;50.0408620834;4.27024507523;60.0;2017-02-16-14-02-38
8;i18;Scrambled static;0.0;1.0;57.9143130779;2.10111999512;60.0;2017-02-16-14-02-38
9;i18;Scrambled static;1.0;1.0;3.8862221241;5.52131605148;60.0;2017-02-16-14-02-38
10;i18;Scrambled static;1.0;1.0;12.5767190456;7.23941397667;60.0;2017-02-16-14-02-38
11;i18;Scrambled static;1.0;1.0;23.7693591118;2.33513402939;60.0;2017-02-16-14-02-38
12;i18;Scrambled static;1.0;1.0;33.4779150486;4.47025513649;60.0;2017-02-16-14-02-38
13;i18;Scrambled static;1.0;1.0;41.6503820419;4.07023310661;60.0;2017-02-16-14-02-38
14;i18;Scrambled static;1.0;1.0;47.6057231426;8.8235039711;60.0;2017-02-16-14-02-38
15;i18;Upright walker;2.0;1.0;2.26812887192;1.23507094383;60.0;2017-02-16-14-02-38
16;i18;Upright walker;2.0;-1.0;3.9032227993;1.36807823181;60.0;2017-02-16-14-02-38
17;i18;Upright walker;2.0;-1.0;6.07134699821;14.0448029041;60.0;2017-02-16-14-02-38
18;i18;Upright walker;2.0;1.0;20.3171620369;1.53408694267;60.0;2017-02-16-14-02-38
19;i18;Upright walker;2.0;-1.0;22.4352829456;5.7883310318;60.0;2017-02-16-14-02-38
20;i18;Upright walker;2.0;-1.0;29.2406718731;4.12023615837;60.0;2017-02-16-14-02-38
21;i18;Upright walker;2.0;-1.0;36.8141050339;3.76921582222;60.0;2017-02-16-14-02-38
22;i18;Upright walker;2.0;-1.0;41.8343918324;2.45214104652;60.0;2017-02-16-14-02-38
23;i18;Upright walker;2.0;1.0;44.4365408421;1.78510212898;60.0;2017-02-16-14-02-38
24;i18;Upright walker;2.0;-1.0;46.6386668682;6.70538401604;60.0;2017-02-16-14-02-38
25;i18;Upright walker;2.0;-1.0;56.5132319927;3.50319981575;60.0;2017-02-16-14-02-38
26;i18;Inverted walker;3.0;-1.0;1.9181098938;1.65109395981;60.0;2017-02-16-14-02-38
27;i18;Inverted walker;3.0;1.0;3.77021598816;4.23624205589;60.0;2017-02-16-14-02-38
28;i18;Inverted walker;3.0;-1.0;9.25752997398;3.25318598747;60.0;2017-02-16-14-02-38
29;i18;Inverted walker;3.0;1.0;13.3107619286;0.551031112671;60.0;2017-02-16-14-02-38
30;i18;Inverted walker;3.0;1.0;22.7353010178;0.651036977768;60.0;2017-02-16-14-02-38
31;i18;Inverted walker;3.0;1.0;36.0960650444;0.684038877487;60.0;2017-02-16-14-02-38
32;i18;Inverted walker;3.0;1.0;50.3578808308;4.25424313545;60.0;2017-02-16-14-02-38
33;i18;Inverted walker;3.0;1.0;56.2792189121;2.40213799477;60.0;2017-02-16-14-02-38
34;i18;Scrambled moving;4.0;1.0;5.45431184769;7.64043712616;60.0;2017-02-16-14-02-38
35;i18;Scrambled moving;4.0;1.0;24.1533808708;1.50108599663;60.0;2017-02-16-14-02-38
36;i18;Scrambled moving;4.0;1.0;57.4812870026;2.53514480591;60.0;2017-02-16-14-02-38
