;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;i16;Scrambled static;0.0;1.0;1.87110710144;58.130325079;60.0;2017-02-20-13-15-16
1;i16;Scrambled static;1.0;1.0;1.05306005478;58.9483709335;60.0;2017-02-20-13-15-16
2;i16;Upright walker;2.0;1.0;1.56908988953;34.5289750099;60.0;2017-02-20-13-15-16
3;i16;Upright walker;2.0;-1.0;36.6150939465;0.0670039653778;60.0;2017-02-20-13-15-16
4;i16;Upright walker;2.0;-1.0;36.7651028633;1.41808104515;60.0;2017-02-20-13-15-16
5;i16;Upright walker;2.0;1.0;38.1831839085;1.65109491348;60.0;2017-02-20-13-15-16
6;i16;Upright walker;2.0;-1.0;39.8342788219;20.1661531925;60.0;2017-02-20-13-15-16
7;i16;Inverted walker;3.0;-1.0;1.70309686661;58.2973351479;60.0;2017-02-20-13-15-16
8;i16;Scrambled moving;4.0;-1.0;4.82227611542;5.07129001617;60.0;2017-02-20-13-15-16
9;i16;Scrambled moving;4.0;1.0;10.1105780602;2.23512792587;60.0;2017-02-20-13-15-16
10;i16;Scrambled moving;4.0;-1.0;12.6627240181;1.91811013222;60.0;2017-02-20-13-15-16
11;i16;Scrambled moving;4.0;1.0;14.5968351364;1.70209693909;60.0;2017-02-20-13-15-16
12;i16;Scrambled moving;4.0;-1.0;16.5659480095;1.60109114647;60.0;2017-02-20-13-15-16
13;i16;Scrambled moving;4.0;1.0;18.467056036;1.20106911659;60.0;2017-02-20-13-15-16
14;i16;Scrambled moving;4.0;-1.0;20.05214715;2.0011138916;60.0;2017-02-20-13-15-16
15;i16;Scrambled moving;4.0;1.0;22.7373011112;1.43408203125;60.0;2017-02-20-13-15-16
16;i16;Scrambled moving;4.0;-1.0;24.8074190617;1.95011210442;60.0;2017-02-20-13-15-16
17;i16;Scrambled moving;4.0;-1.0;27.1405520439;0.134007930756;60.0;2017-02-20-13-15-16
18;i16;Scrambled moving;4.0;-1.0;29.04266119;0.900051832199;60.0;2017-02-20-13-15-16
19;i16;Scrambled moving;4.0;-1.0;33.3959100246;1.00105714798;60.0;2017-02-20-13-15-16
20;i16;Scrambled moving;4.0;1.0;38.300191164;1.95111083984;60.0;2017-02-20-13-15-16
21;i16;Scrambled moving;4.0;-1.0;40.8033339977;2.05011701584;60.0;2017-02-20-13-15-16
22;i16;Scrambled moving;4.0;1.0;54.797134161;1.25107192993;60.0;2017-02-20-13-15-16
23;i16;Scrambled moving;4.0;-1.0;57.2152731419;1.58508992195;60.0;2017-02-20-13-15-16
