;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n02;Scrambled static;0.0;-1.0;0.851000070572;4.03600001335;60.0;2015-10-06-11-25-32
1;n02;Scrambled static;0.0;1.0;4.90400004387;18.5989999771;60.0;2015-10-06-11-25-32
2;n02;Scrambled static;0.0;-1.0;23.503000021;36.496999979;60.0;2015-10-06-11-25-32
3;n02;Scrambled static;1.0;-1.0;0.516999959946;24.0710000992;60.0;2015-10-06-11-25-32
4;n02;Scrambled static;1.0;1.0;24.5880000591;35.4119999409;60.0;2015-10-06-11-25-32
5;n02;Inverted walker;2.0;1.0;1.9849998951;11.0590000153;60.0;2015-10-06-11-25-32
6;n02;Inverted walker;2.0;1.0;13.6609997749;3.03600001335;60.0;2015-10-06-11-25-32
7;n02;Inverted walker;2.0;-1.0;16.7139999866;5.6369998455;60.0;2015-10-06-11-25-32
8;n02;Inverted walker;2.0;1.0;52.6429998875;7.35700011253;60.0;2015-10-06-11-25-32
9;n02;Upright walker;3.0;-1.0;0.616999864578;0.317000150681;60.0;2015-10-06-11-25-32
10;n02;Upright walker;3.0;1.0;0.934000015259;8.5569999218;60.0;2015-10-06-11-25-32
11;n02;Upright walker;3.0;-1.0;9.49099993706;4.98799991608;60.0;2015-10-06-11-25-32
12;n02;Upright walker;3.0;1.0;14.4789998531;8.30599999428;60.0;2015-10-06-11-25-32
13;n02;Upright walker;3.0;-1.0;22.7849998474;15.9630000591;60.0;2015-10-06-11-25-32
14;n02;Upright walker;3.0;1.0;38.7479999065;17.9990000725;60.0;2015-10-06-11-25-32
15;n02;Upright walker;3.0;-1.0;56.746999979;3.26899981499;60.0;2015-10-06-11-25-32
