;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n08;Scrambled static;0.0;1.0;1.41799998283;58.5829999447;60.0;2015-10-08-13-18-37
1;n08;Scrambled static;1.0;1.0;0.75;59.25;60.0;2015-10-08-13-18-37
2;n08;Upright walker;3.0;1.0;4.52099990845;5.40400004387;60.0;2015-10-08-13-18-37
3;n08;Upright walker;3.0;-1.0;10.6749999523;49.3250000477;60.0;2015-10-08-13-18-37
4;n08;Scrambled moving;4.0;-1.0;7.1890001297;10.7920000553;60.0;2015-10-08-13-18-37
5;n08;Scrambled moving;4.0;1.0;18.4320001602;1.11699986458;60.0;2015-10-08-13-18-37
6;n08;Scrambled moving;4.0;-1.0;21.367000103;14.9460000992;60.0;2015-10-08-13-18-37
7;n08;Scrambled moving;4.0;-1.0;41.6180000305;12.2770001888;60.0;2015-10-08-13-18-37
8;n08;Scrambled moving;4.0;-1.0;58.2650001049;1.75099992752;60.0;2015-10-08-13-18-37
