;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n18;Scrambled static;0.0;1.0;1.41799998283;44.4539999962;60.0;2015-10-06-12-54-31
1;n18;Scrambled static;0.0;-1.0;46.1719999313;13.8440001011;60.0;2015-10-06-12-54-31
2;n18;Scrambled static;1.0;-1.0;2.48500013351;57.5309998989;60.0;2015-10-06-12-54-31
3;n18;Upright walker;3.0;1.0;2.08500003815;2.3180000782;60.0;2015-10-06-12-54-31
4;n18;Upright walker;3.0;1.0;12.6610000134;0.567000150681;60.0;2015-10-06-12-54-31
5;n18;Upright walker;3.0;-1.0;13.5450000763;1.53399991989;60.0;2015-10-06-12-54-31
6;n18;Upright walker;3.0;1.0;15.6960000992;0.901000022888;60.0;2015-10-06-12-54-31
7;n18;Upright walker;3.0;-1.0;17.0480000973;1.40100002289;60.0;2015-10-06-12-54-31
8;n18;Upright walker;3.0;1.0;18.8159999847;1.13400006294;60.0;2015-10-06-12-54-31
9;n18;Upright walker;3.0;-1.0;20.2170000076;1.58400011063;60.0;2015-10-06-12-54-31
10;n18;Upright walker;3.0;1.0;22.3680000305;1.28500008583;60.0;2015-10-06-12-54-31
11;n18;Upright walker;3.0;-1.0;23.986000061;1.31900000572;60.0;2015-10-06-12-54-31
12;n18;Upright walker;3.0;1.0;25.7720000744;1.10100007057;60.0;2015-10-06-12-54-31
13;n18;Upright walker;3.0;-1.0;27.4230000973;1.05099987984;60.0;2015-10-06-12-54-31
14;n18;Upright walker;3.0;1.0;29.0910000801;1.2349998951;60.0;2015-10-06-12-54-31
15;n18;Upright walker;3.0;-1.0;30.8259999752;1.28400015831;60.0;2015-10-06-12-54-31
16;n18;Upright walker;3.0;1.0;32.5440001488;1.08399987221;60.0;2015-10-06-12-54-31
17;n18;Upright walker;3.0;-1.0;34.0780000687;1.35100007057;60.0;2015-10-06-12-54-31
18;n18;Upright walker;3.0;1.0;36.0130000114;1.16799998283;60.0;2015-10-06-12-54-31
19;n18;Upright walker;3.0;-1.0;37.7150001526;1.55099987984;60.0;2015-10-06-12-54-31
20;n18;Upright walker;3.0;1.0;39.7990000248;1.10100007057;60.0;2015-10-06-12-54-31
21;n18;Upright walker;3.0;-1.0;41.1840000153;1.11800003052;60.0;2015-10-06-12-54-31
22;n18;Upright walker;3.0;1.0;42.736000061;1.26800012589;60.0;2015-10-06-12-54-31
23;n18;Upright walker;3.0;-1.0;44.3870000839;1.25099992752;60.0;2015-10-06-12-54-31
24;n18;Upright walker;3.0;1.0;46.356000185;1.25099992752;60.0;2015-10-06-12-54-31
25;n18;Upright walker;3.0;-1.0;48.0070002079;1.13399982452;60.0;2015-10-06-12-54-31
26;n18;Upright walker;3.0;1.0;49.9420001507;1.28399991989;60.0;2015-10-06-12-54-31
27;n18;Upright walker;3.0;1.0;53.2440001965;1.55099987984;60.0;2015-10-06-12-54-31
28;n18;Upright walker;3.0;-1.0;54.8619999886;1.55100011826;60.0;2015-10-06-12-54-31
29;n18;Upright walker;3.0;1.0;56.6300001144;1.60100007057;60.0;2015-10-06-12-54-31
30;n18;Upright walker;3.0;-1.0;58.4820001125;1.51799988747;60.0;2015-10-06-12-54-31
31;n18;Scrambled moving;4.0;1.0;43.3029999733;16.6970000267;60.0;2015-10-06-12-54-31
