;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n05;Scrambled static;0.0;1.0;2.56900000572;5.78799986839;60.0;2015-10-06-15-14-17
1;n05;Scrambled static;0.0;1.0;10.257999897;39.1340000629;60.0;2015-10-06-15-14-17
2;n05;Scrambled static;0.0;1.0;52.9609999657;0.0499999523163;60.0;2015-10-06-15-14-17
3;n05;Scrambled static;0.0;1.0;53.243999958;6.75600004196;60.0;2015-10-06-15-14-17
4;n05;Scrambled static;1.0;1.0;1.85100007057;38.1319999695;60.0;2015-10-06-15-14-17
5;n05;Scrambled static;1.0;1.0;41.7839999199;18.2320001125;60.0;2015-10-06-15-14-17
6;n05;Inverted walker;2.0;1.0;39.4330000877;3.15199995041;60.0;2015-10-06-15-14-17
7;n05;Upright walker;3.0;1.0;19.4659998417;1.81900000572;60.0;2015-10-06-15-14-17
8;n05;Upright walker;3.0;1.0;24.4379999638;35.5629999638;60.0;2015-10-06-15-14-17
9;n05;Scrambled moving;4.0;1.0;15.2130000591;0.433000087738;60.0;2015-10-06-15-14-17
10;n05;Scrambled moving;4.0;1.0;34.9790000916;1.21799993515;60.0;2015-10-06-15-14-17
11;n05;Scrambled moving;4.0;-1.0;45.2869999409;2.37000012398;60.0;2015-10-06-15-14-17
12;n05;Scrambled moving;4.0;-1.0;49.4249999523;4.60300016403;60.0;2015-10-06-15-14-17
