;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n16;Scrambled static;0.0;1.0;2.95300006866;46.4720001221;60.0;2015-10-06-14-59-07
1;n16;Scrambled static;0.0;1.0;51.9100000858;8.09100008011;60.0;2015-10-06-14-59-07
2;n16;Scrambled static;1.0;1.0;1.51799988747;28.2900002003;60.0;2015-10-06-14-59-07
3;n16;Scrambled static;1.0;-1.0;29.8080000877;1.65199995041;60.0;2015-10-06-14-59-07
4;n16;Scrambled static;1.0;1.0;31.4600000381;28.5399999619;60.0;2015-10-06-14-59-07
5;n16;Upright walker;3.0;1.0;9.22499990463;50.7750000954;60.0;2015-10-06-14-59-07
6;n16;Scrambled moving;4.0;1.0;23.118999958;36.881000042;60.0;2015-10-06-14-59-07
