;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n06;Scrambled static;0.0;1.0;3.6369998455;3.78600001335;60.0;2015-10-06-12-29-12
1;n06;Scrambled static;0.0;1.0;11.8429999352;12.5269999504;60.0;2015-10-06-12-29-12
2;n06;Scrambled static;0.0;-1.0;39.382999897;20.617000103;60.0;2015-10-06-12-29-12
3;n06;Scrambled static;1.0;-1.0;6.85500001907;13.9119999409;60.0;2015-10-06-12-29-12
4;n06;Scrambled static;1.0;-1.0;35.3790001869;19.4499998093;60.0;2015-10-06-12-29-12
5;n06;Inverted walker;2.0;1.0;48.9400000572;0.450000047684;60.0;2015-10-06-12-29-12
6;n06;Inverted walker;2.0;1.0;50.1410000324;0.450000047684;60.0;2015-10-06-12-29-12
7;n06;Inverted walker;2.0;1.0;52.0429999828;0.467000007629;60.0;2015-10-06-12-29-12
8;n06;Inverted walker;2.0;1.0;53.728000164;0.700000047684;60.0;2015-10-06-12-29-12
9;n06;Inverted walker;2.0;1.0;55.6290001869;0.633999824524;60.0;2015-10-06-12-29-12
10;n06;Inverted walker;2.0;1.0;57.0800001621;0.684000015259;60.0;2015-10-06-12-29-12
11;n06;Inverted walker;2.0;1.0;58.7650001049;0.549999952316;60.0;2015-10-06-12-29-12
12;n06;Upright walker;3.0;1.0;4.92199993134;0.467000007629;60.0;2015-10-06-12-29-12
13;n06;Upright walker;3.0;1.0;10.7090001106;0.833999872208;60.0;2015-10-06-12-29-12
14;n06;Upright walker;3.0;1.0;17.0480000973;1.30099987984;60.0;2015-10-06-12-29-12
15;n06;Upright walker;3.0;1.0;18.7160000801;18.3159999847;60.0;2015-10-06-12-29-12
16;n06;Upright walker;3.0;1.0;37.7990000248;1.55100011826;60.0;2015-10-06-12-29-12
17;n06;Upright walker;3.0;1.0;39.6340000629;19.6489999294;60.0;2015-10-06-12-29-12
18;n06;Scrambled moving;4.0;1.0;15.0789999962;0.350999832153;60.0;2015-10-06-12-29-12
19;n06;Scrambled moving;4.0;1.0;15.5959999561;0.533999919891;60.0;2015-10-06-12-29-12
20;n06;Scrambled moving;4.0;1.0;17.3479998112;1.05000019073;60.0;2015-10-06-12-29-12
21;n06;Scrambled moving;4.0;1.0;18.8149998188;1.58500003815;60.0;2015-10-06-12-29-12
22;n06;Scrambled moving;4.0;1.0;20.6839997768;1.20100021362;60.0;2015-10-06-12-29-12
23;n06;Scrambled moving;4.0;1.0;31.9269998074;1.16700005531;60.0;2015-10-06-12-29-12
24;n06;Scrambled moving;4.0;1.0;36.1629998684;0.96799993515;60.0;2015-10-06-12-29-12
25;n06;Scrambled moving;4.0;1.0;37.6979999542;1.03399991989;60.0;2015-10-06-12-29-12
26;n06;Scrambled moving;4.0;1.0;57.1309998035;0.667000055313;60.0;2015-10-06-12-29-12
27;n06;Scrambled moving;4.0;1.0;58.7319998741;0.733999967575;60.0;2015-10-06-12-29-12
