;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n11;Scrambled static;0.0;1.0;1.73399996758;0.0999999046326;60.0;2015-10-12-16-09-02
1;n11;Scrambled static;0.0;1.0;3.98600006104;0.0829999446869;60.0;2015-10-12-16-09-02
2;n11;Scrambled static;0.0;1.0;7.60599994659;52.4100000858;60.0;2015-10-12-16-09-02
3;n11;Scrambled static;1.0;1.0;1.5680000782;58.4479999542;60.0;2015-10-12-16-09-02
4;n11;Inverted walker;2.0;-1.0;37.57200003;0.282999992371;60.0;2015-10-12-16-09-02
5;n11;Upright walker;3.0;1.0;38.3320000172;21.6679999828;60.0;2015-10-12-15-18-01
6;n11;Scrambled moving;4.0;1.0;2.3189997673;8.84000015259;60.0;2015-10-12-15-18-01
7;n11;Scrambled moving;4.0;-1.0;11.1589999199;2.65199995041;60.0;2015-10-12-15-18-01
8;n11;Scrambled moving;4.0;1.0;13.8109998703;2.43600010872;60.0;2015-10-12-15-18-01
9;n11;Scrambled moving;4.0;1.0;19.382999897;0.117000102997;60.0;2015-10-12-15-18-01
10;n11;Scrambled moving;4.0;1.0;19.5499999523;4.58699989319;60.0;2015-10-12-15-18-01
11;n11;Scrambled moving;4.0;-1.0;24.7709999084;1.86800003052;60.0;2015-10-12-15-18-01
12;n11;Scrambled moving;4.0;1.0;26.6549999714;1.28499984741;60.0;2015-10-12-15-18-01
13;n11;Scrambled moving;4.0;-1.0;28.2069997787;1.46700000763;60.0;2015-10-12-15-18-01
14;n11;Scrambled moving;4.0;1.0;29.6739997864;5.15500020981;60.0;2015-10-12-15-18-01
15;n11;Scrambled moving;4.0;-1.0;34.8289999962;2.16899991035;60.0;2015-10-12-15-18-01
16;n11;Scrambled moving;4.0;1.0;36.9979999065;1.68400001526;60.0;2015-10-12-15-18-01
17;n11;Scrambled moving;4.0;-1.0;38.6819999218;1.36800003052;60.0;2015-10-12-15-18-01
18;n11;Scrambled moving;4.0;1.0;40.0499999523;2.11800003052;60.0;2015-10-12-15-18-01
19;n11;Scrambled moving;4.0;-1.0;42.1849999428;1.85099983215;60.0;2015-10-12-15-18-01
20;n11;Scrambled moving;4.0;1.0;44.0359997749;1.48500013351;60.0;2015-10-12-15-18-01
21;n11;Scrambled moving;4.0;-1.0;45.5209999084;1.51799988747;60.0;2015-10-12-15-18-01
22;n11;Scrambled moving;4.0;1.0;47.0389997959;1.98500013351;60.0;2015-10-12-15-18-01
23;n11;Scrambled moving;4.0;-1.0;49.0239999294;1.65199995041;60.0;2015-10-12-15-18-01
24;n11;Scrambled moving;4.0;1.0;50.6759998798;3.73600006104;60.0;2015-10-12-15-18-01
25;n11;Scrambled moving;4.0;-1.0;54.4119999409;1.36800003052;60.0;2015-10-12-15-18-01
26;n11;Scrambled moving;4.0;1.0;55.7799999714;4.08599996567;60.0;2015-10-12-15-18-01
27;n11;Scrambled moving;4.0;-1.0;59.8659999371;0.134000062943;60.0;2015-10-12-15-18-01
