;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n07;Scrambled static;0.0;-1.0;2.95600008965;5.73799991608;60.0;2015-10-09-11-42-44
1;n07;Scrambled static;0.0;1.0;9.1779999733;5.75500011444;60.0;2015-10-09-11-42-44
2;n07;Scrambled static;0.0;-1.0;16.8680000305;43.1319999695;60.0;2015-10-09-11-42-44
3;n07;Scrambled static;1.0;-1.0;0.934000015259;31.0590000153;60.0;2015-10-09-11-42-44
4;n07;Scrambled static;1.0;-1.0;46.5220000744;13.493999958;60.0;2015-10-09-11-42-44
5;n07;Scrambled moving;4.0;1.0;8.47399997711;49.8079998493;60.0;2015-10-09-11-42-44
