;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n04;Scrambled static;0.0;1.0;0.934000015259;1.55099987984;60.0;2015-10-20-16-56-32
1;n04;Scrambled static;0.0;-1.0;2.83599996567;20.7669999599;60.0;2015-10-20-16-56-32
2;n04;Scrambled static;0.0;1.0;23.6029999256;29.0910000801;60.0;2015-10-20-16-56-32
3;n04;Scrambled static;0.0;-1.0;52.6940000057;2.83499979973;60.0;2015-10-20-16-56-32
4;n04;Scrambled static;0.0;1.0;55.5289998055;4.48700022697;60.0;2015-10-20-16-56-32
5;n04;Scrambled static;1.0;-1.0;3.3860001564;6.53900003433;60.0;2015-10-20-16-56-32
6;n04;Scrambled static;1.0;1.0;9.92500019073;6.4889998436;60.0;2015-10-20-16-56-32
7;n04;Scrambled static;1.0;-1.0;16.4140000343;6.13800001144;60.0;2015-10-20-16-56-32
8;n04;Scrambled static;1.0;1.0;22.5520000458;9.55800008774;60.0;2015-10-20-16-56-32
9;n04;Scrambled static;1.0;-1.0;32.1100001335;2.28600001335;60.0;2015-10-20-16-56-32
10;n04;Scrambled static;1.0;1.0;34.3960001469;1.66699981689;60.0;2015-10-20-16-56-32
11;n04;Scrambled static;1.0;-1.0;36.0629999638;1.66800022125;60.0;2015-10-20-16-56-32
12;n04;Scrambled static;1.0;1.0;37.731000185;14.0460000038;60.0;2015-10-20-16-56-32
13;n04;Scrambled static;1.0;-1.0;51.7770001888;2.08499979973;60.0;2015-10-20-16-56-32
14;n04;Scrambled static;1.0;1.0;53.8619999886;1.83400011063;60.0;2015-10-20-16-56-32
15;n04;Scrambled static;1.0;-1.0;55.6960000992;2.28500008583;60.0;2015-10-20-16-56-32
16;n04;Scrambled static;1.0;1.0;57.981000185;1.85199999809;60.0;2015-10-20-16-56-32
17;n04;Scrambled static;1.0;-1.0;59.8330001831;0.182999849319;60.0;2015-10-20-16-56-32
18;n04;Upright walker;3.0;-1.0;3.85399985313;10.6590001583;60.0;2015-10-20-16-56-32
19;n04;Upright walker;3.0;1.0;14.5130000114;5.85500001907;60.0;2015-10-20-16-56-32
20;n04;Upright walker;3.0;-1.0;20.3680000305;7.40599989891;60.0;2015-10-20-16-56-32
21;n04;Upright walker;3.0;1.0;27.7739999294;4.58699989319;60.0;2015-10-20-16-56-32
22;n04;Upright walker;3.0;-1.0;32.3609998226;1.61800003052;60.0;2015-10-20-16-56-32
23;n04;Upright walker;3.0;1.0;33.9789998531;1.75200009346;60.0;2015-10-20-16-56-32
24;n04;Upright walker;3.0;-1.0;35.7309999466;4.42000007629;60.0;2015-10-20-16-56-32
25;n04;Upright walker;3.0;1.0;40.1510000229;5.92100000381;60.0;2015-10-20-16-56-32
26;n04;Upright walker;3.0;-1.0;46.0720000267;2.76899981499;60.0;2015-10-20-16-56-32
27;n04;Upright walker;3.0;1.0;48.8409998417;5.18799996376;60.0;2015-10-20-16-56-32
28;n04;Upright walker;3.0;-1.0;54.0289998055;5.93800020218;60.0;2015-10-20-16-56-32
29;n04;Upright walker;3.0;1.0;59.9670000076;0.0339999198914;60.0;2015-10-20-16-56-32
30;n04;Scrambled moving;4.0;1.0;41.1010000706;1.65100002289;60.0;2015-10-20-16-56-32
31;n04;Scrambled moving;4.0;-1.0;42.7520000935;4.30399990082;60.0;2015-10-20-16-56-32
32;n04;Scrambled moving;4.0;1.0;56.2130000591;3.08599996567;60.0;2015-10-20-16-56-32
33;n04;Scrambled moving;4.0;-1.0;59.2990000248;0.700999975204;60.0;2015-10-20-16-56-32
