;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n14;Scrambled static;0.0;1.0;3.40300011635;0.21599984169;60.0;2015-10-07-10-54-28
1;n14;Scrambled static;0.0;1.0;3.85300016403;3.60299992561;60.0;2015-10-07-10-54-28
2;n14;Scrambled static;0.0;-1.0;8.3900001049;13.6449999809;60.0;2015-10-07-10-54-28
3;n14;Scrambled static;0.0;1.0;23.2860000134;22.6180000305;60.0;2015-10-07-10-54-28
4;n14;Scrambled static;0.0;-1.0;45.9040000439;14.1119999886;60.0;2015-10-07-10-54-28
5;n14;Scrambled static;1.0;1.0;0.818000078201;21.7179999352;60.0;2015-10-07-10-54-28
6;n14;Scrambled static;1.0;-1.0;22.868999958;3.48699998856;60.0;2015-10-07-10-54-28
7;n14;Scrambled static;1.0;1.0;26.3559999466;7.13800001144;60.0;2015-10-07-10-54-28
8;n14;Scrambled static;1.0;-1.0;33.493999958;26.506000042;60.0;2015-10-07-10-54-28
9;n14;Inverted walker;2.0;1.0;3.13499999046;2.36899995804;60.0;2015-10-07-10-54-28
10;n14;Inverted walker;2.0;-1.0;44.0199999809;1.95199990273;60.0;2015-10-07-10-54-28
11;n14;Inverted walker;2.0;1.0;46.1719999313;0.849999904633;60.0;2015-10-07-10-54-28
12;n14;Inverted walker;2.0;-1.0;51.4589998722;0.950999975204;60.0;2015-10-07-10-54-28
13;n14;Upright walker;3.0;-1.0;7.93899989128;0.351000070572;60.0;2015-10-07-10-54-28
14;n14;Upright walker;3.0;-1.0;10.8919999599;13.3439998627;60.0;2015-10-07-10-54-28
15;n14;Upright walker;3.0;1.0;26.2879998684;32.5940001011;60.0;2015-10-07-10-54-28
16;n14;Upright walker;3.0;-1.0;59.882999897;0.132999897003;60.0;2015-10-07-10-54-28
17;n14;Scrambled moving;4.0;-1.0;22.1519999504;9.54100012779;60.0;2015-10-07-10-54-28
18;n14;Scrambled moving;4.0;1.0;33.6610000134;8.10699987411;60.0;2015-10-07-10-54-28
19;n14;Scrambled moving;4.0;1.0;50.4249999523;6.6400001049;60.0;2015-10-07-10-54-28
20;n14;Scrambled moving;4.0;1.0;59.9170000553;0.0829999446869;60.0;2015-10-07-10-54-28
